job name,job level,company name,city,area,country,skills
Training Manager,Mid-Senior level,Marriott Hotels,Batam Centre,Riau,Indonesia,Customer Service+Development Programs+Guest Relations+Guest Satisfaction+Human Resources (HR)+Training+Training Courses+Training Management
Medical Representative – Batam,Associate,AstraZeneca,Batam,Riau Islands,Indonesia,Budgeting+Building Long-term Relationships+Business Networking+Communication+Market Access+Medical Sales+Presentations+Sales+Sales Management+Sales Performance
Solutions Architect,Mid-Senior level,Space Executive,,Jakarta,Indonesia,DevOps+Alibaba Cloud+Cloud Computing+Communication+Databases+IT Integration+IT Solutions+Presentation Skills+Software Development+Solution Architecture
Solution Architect (Indonesia),Mid-Senior level,Xtremax,Bandung,West Java,Indonesia,Cloud Computing+Cloud Development+Communication+Computer Engineering+Computer Science+Information Technology+SharePoint+SharePoint Server+Solution Architecture+Windows Server
Wellness Counselor,Associate,Gear Inc.,Surabaya,East Java,Indonesia,Cognitive Behavioral Therapy (CBT)+Communication+Crisis Intervention+Employee Relations+English+Microsoft Excel+Microsoft PowerPoint+Microsoft Word+Motivational Interviewing+Psychology
Routing Specialist - Jakarta,,8x8,,Jakarta Metropolitan Area,,Analytical Skills+Carrier Relationships+Communication+Doer+English+IT Escalation+Interpersonal Skills+Operations Processes+Problem Solving+SMS
Cloud Solutions Development Specialist,Mid-Senior level,Ingram Micro,,Jakarta,Indonesia,Cybersecurity+Network Security+Account Management+Cloud Computing+Demand Generation+Firewalls+Go-to-Market Strategy+Interpersonal Communication+Market Intelligence+Marketing
Senior Product Manager - Sanctions Platform,Mid-Senior level,Gojek,Jakarta,Jakarta,Indonesia,Analytical Skills+Change Impact Analysis+Communication+Customer Satisfaction+Product Management+Product Requirement Definition+Product Road Mapping+Product Strategy+Quantitative Analytics+User Experience (UX)
Sea Logistics Requirement Engineering + Systems Support Expert ( Jkt ZS-MS ),Associate,Kuehne+Nagel,Jakarta,Jakarta,Indonesia,Action Planning+Enterprise Solution Design+Operational Excellence+Process Auditing+Process Excellence+Root Cause+Root Cause Analysis+Software Solutions+System Testing+Technical Solution Design
Manager, Product Creation Footwear, Sportswear,,adidas,Jakarta,Jakarta,Indonesia,Commercially driven+Footwear+Marketing Analytics+Numeracy+Presentations+Product Knowledge+Product Marketing+T1+T2+Target Costing
Complex English Teacher,Entry level,The Ritz-Carlton Hotel Company, L.L.C.,Jakarta,Jakarta,Indonesia,Business English+English Teaching+English as a Second Language (ESL)+Job Aids+Language Teaching+Learning Strategies+Needs Assessment+Teaching English as a Foreign Language+Teaching English as a Second Language+Writing
Part-time Montessori Teacher BATAM area,,Kid's Club Indonesia,Batam,Riau Islands,Indonesia,Analytical Skills+D3.js+Negotiation+Non-Governmental Organizations (NGOs)+Teacher Training+Teaching
Operation Specialist (HAGO Voice Streaming),Internship,JOYY Inc.,Jakarta,Jakarta,Indonesia,Broadcasting+Communication+English+Entertainment+Live Streaming+Operational Strategy+Operations+Strategy+Team Spirit
